dataset,split,method,seed,classifier,metric,test_acc,test_disp,train_acc,train_disp,hyp,time
compas,5,gridsearch,1,LR,DP,0.5852235904082955,0.9685534591194969,0.5914884424281702,0.9609243697478992,"0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0",11.711728811264038
compas,5,gridsearch,1,LR,DP,0.43292287751134156,1.0,0.43076258371138476,1.0,"2.5,0.0,0.0,0.0,0.0,7.5,0.0,0.0",11.711728811264038
compas,5,gridsearch,1,LR,DP,0.43292287751134156,1.0,0.43076258371138476,1.0,"2.5,0.0,0.0,0.0,0.0,5.0,2.5,0.0",11.711728811264038
compas,5,gridsearch,1,LR,DP,0.43292287751134156,1.0,0.43076258371138476,1.0,"2.5,0.0,0.0,0.0,0.0,5.0,0.0,0.0",11.711728811264038
compas,5,gridsearch,1,LR,DP,0.4141283214517174,0.266636670416198,0.38885288399222295,0.25959670381236816,"2.5,0.0,2.5,0.0,0.0,5.0,0.0,0.0",11.711728811264038
compas,5,gridsearch,1,LR,DP,0.4322747893713545,1.0,0.435299200691294,1.0,"2.5,0.0,0.0,0.0,0.0,2.5,5.0,0.0",11.711728811264038
compas,5,gridsearch,1,LR,DP,0.43292287751134156,1.0,0.43076258371138476,1.0,"2.5,0.0,0.0,0.0,0.0,2.5,2.5,0.0",11.711728811264038
compas,5,gridsearch,1,LR,DP,0.43292287751134156,1.0,0.43076258371138476,1.0,"2.5,0.0,0.0,0.0,0.0,2.5,0.0,0.0",11.711728811264038
compas,5,gridsearch,1,LR,DP,0.49773169151004537,0.9974842767295597,0.4888744869302225,0.9987394957983193,"2.5,0.0,2.5,0.0,0.0,2.5,0.0,0.0",11.711728811264038
compas,5,gridsearch,1,LR,DP,0.4938431626701231,1.0,0.4944912508101102,1.0,"2.5,0.0,5.0,0.0,0.0,2.5,0.0,0.0",11.711728811264038
compas,5,gridsearch,1,LR,DP,0.5061568373298768,1.0,0.5055087491898899,1.0,"2.5,0.0,0.0,0.0,0.0,0.0,7.5,0.0",11.711728811264038
compas,5,gridsearch,1,LR,DP,0.5061568373298768,1.0,0.5055087491898899,1.0,"2.5,0.0,0.0,0.0,0.0,0.0,5.0,0.0",11.711728811264038
compas,5,gridsearch,1,LR,DP,0.524303305249514,1.0,0.5234391877295312,1.0,"2.5,0.0,0.0,0.0,0.0,0.0,2.5,0.0",11.711728811264038
compas,5,gridsearch,1,LR,DP,0.43292287751134156,1.0,0.43076258371138476,1.0,"2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0",11.711728811264038
compas,5,gridsearch,1,LR,DP,0.4938431626701231,1.0,0.4944912508101102,1.0,"2.5,0.0,2.5,0.0,0.0,0.0,0.0,0.0",11.711728811264038
compas,5,gridsearch,1,LR,DP,0.4938431626701231,1.0,0.4944912508101102,1.0,"2.5,0.0,5.0,0.0,0.0,0.0,0.0,0.0",11.711728811264038
compas,5,gridsearch,1,LR,TPR,0.5670771224886585,1.0,0.5692374162886152,1.0,"0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0",8.673563241958618
compas,5,gridsearch,1,LR,TPR,0.5703175631885936,0.9975903614457832,0.5722618276085548,1.0,"0.0,0.0,0.0,0.0,7.5,2.5,0.0,0.0",8.673563241958618
compas,5,gridsearch,1,LR,TPR,0.6254050550874919,0.8452870304748406,0.6381507885072369,0.7978541040066076,"0.0,0.0,0.0,0.0,7.5,0.0,2.5,0.0",8.673563241958618
compas,5,gridsearch,1,LR,TPR,0.5670771224886585,1.0,0.5692374162886152,1.0,"0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0",8.673563241958618
compas,5,gridsearch,1,LR,TPR,0.5670771224886585,1.0,0.5692374162886152,1.0,"0.0,0.0,2.5,0.0,7.5,0.0,0.0,0.0",8.673563241958618
compas,5,gridsearch,1,LR,TPR,0.5670771224886585,1.0,0.5692374162886152,1.0,"0.0,2.5,0.0,0.0,7.5,0.0,0.0,0.0",8.673563241958618
compas,5,gridsearch,1,LR,TPR,0.508749189889825,0.9951807228915662,0.5130697774897386,1.0,"0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0",8.673563241958618
compas,5,gridsearch,1,LR,TPR,0.5061568373298768,1.0,0.5055087491898899,1.0,"0.0,0.0,0.0,0.0,5.0,2.5,2.5,0.0",8.673563241958618
compas,5,gridsearch,1,LR,TPR,0.5897602073882048,1.0,0.5925685893281486,1.0,"0.0,0.0,0.0,0.0,5.0,2.5,0.0,0.0",8.673563241958618
compas,5,gridsearch,1,LR,TPR,0.5469863901490603,1.0,0.5519550658889609,1.0,"0.0,0.0,2.5,0.0,5.0,2.5,0.0,0.0",8.673563241958618
compas,5,gridsearch,1,LR,TPR,0.5061568373298768,1.0,0.5055087491898899,1.0,"0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0",8.673563241958618
