dataset,epsilon,depth,acc_tr_pre,disc_tr_pre,acc_te_pre,disc_te_pre,acc_tr_post,disc_tr_post,acc_te_post,disc_te_post
4,0.75,3,68.892,0.18958,66.796,0.17828,68.892,0.18958,66.796,0.17828
4,0.8,1,66.785,0.16293,65.694,0.18572,66.785,0.16293,65.694,0.18572
4,0.8,2,68.697,0.1675,66.667,0.15978,68.697,0.1675,66.667,0.15978
4,0.8,3,68.892,0.18958,66.796,0.17828,68.892,0.18958,66.796,0.17828
4,0.85,1,66.785,0.16293,65.694,0.18572,66.785,0.16293,65.694,0.18572
4,0.85,2,68.697,0.1675,66.667,0.15978,68.697,0.1675,66.667,0.15978
4,0.85,3,68.892,0.18958,66.796,0.17828,68.892,0.18958,66.796,0.17828
4,0.9,1,66.785,0.16293,65.694,0.18572,66.785,0.16293,65.694,0.18572
4,0.9,2,68.697,0.1675,66.667,0.15978,68.697,0.1675,66.667,0.15978
4,0.9,3,68.892,0.18958,66.796,0.17828,68.892,0.18958,66.796,0.17828
5,0.01,1,65.424,0.17887,65.888,0.18553,54.213,0,57.134,-0.023716
5,0.01,2,65.716,0.18468,66.991,0.18311,52.949,0,53.243,-0.0021178
5,0.01,3,68.114,0.1937,67.639,0.14878,52.203,0,52.918,-0.080853
5,0.05,1,65.424,0.17887,65.888,0.18553,54.213,0,57.134,-0.023716
5,0.05,2,65.716,0.18468,66.991,0.18311,52.949,0,53.243,-0.0021178
5,0.05,3,68.114,0.1937,67.639,0.14878,61.342,0.040611,59.339,0.0093221
5,0.1,1,65.424,0.17887,65.888,0.18553,54.213,0,57.134,-0.023716
5,0.1,2,65.716,0.18468,66.991,0.18311,61.99,0.094849,62.581,0.12223
5,0.1,3,68.114,0.1937,67.639,0.14878,64.161,0.089717,62.516,0.057144
5,0.15,1,65.424,0.17887,65.888,0.18553,63.545,0.12378,63.813,0.12434
5,0.15,2,65.716,0.18468,66.991,0.18311,63.545,0.12378,63.813,0.12434
5,0.15,3,68.114,0.1937,67.639,0.14878,64.809,0.10607,63.294,0.089339
5,0.2,1,65.424,0.17887,65.888,0.18553,65.424,0.17887,65.888,0.18553
5,0.2,2,65.716,0.18468,66.991,0.18311,65.716,0.18468,66.991,0.18311
5,0.2,3,68.114,0.1937,67.639,0.14878,68.114,0.1937,67.639,0.14878
5,0.25,1,65.424,0.17887,65.888,0.18553,65.424,0.17887,65.888,0.18553
5,0.25,2,65.716,0.18468,66.991,0.18311,65.716,0.18468,66.991,0.18311
5,0.25,3,68.114,0.1937,67.639,0.14878,68.114,0.1937,67.639,0.14878
5,0.3,1,65.424,0.17887,65.888,0.18553,65.424,0.17887,65.888,0.18553
5,0.3,2,65.716,0.18468,66.991,0.18311,65.716,0.18468,66.991,0.18311
5,0.3,3,68.114,0.1937,67.639,0.14878,68.114,0.1937,67.639,0.14878
5,0.35,1,65.424,0.17887,65.888,0.18553,65.424,0.17887,65.888,0.18553
5,0.35,2,65.716,0.18468,66.991,0.18311,65.716,0.18468,66.991,0.18311
5,0.35,3,68.114,0.1937,67.639,0.14878,68.114,0.1937,67.639,0.14878
5,0.4,1,65.424,0.17887,65.888,0.18553,65.424,0.17887,65.888,0.18553
5,0.4,2,65.716,0.18468,66.991,0.18311,65.716,0.18468,66.991,0.18311
5,0.4,3,68.114,0.1937,67.639,0.14878,68.114,0.1937,67.639,0.14878
5,0.45,1,65.424,0.17887,65.888,0.18553,65.424,0.17887,65.888,0.18553
5,0.45,2,65.716,0.18468,66.991,0.18311,65.716,0.18468,66.991,0.18311
5,0.45,3,68.114,0.1937,67.639,0.14878,68.114,0.1937,67.639,0.14878
5,0.5,1,65.424,0.17887,65.888,0.18553,65.424,0.17887,65.888,0.18553
5,0.5,2,65.716,0.18468,66.991,0.18311,65.716,0.18468,66.991,0.18311
5,0.5,3,68.114,0.1937,67.639,0.14878,68.114,0.1937,67.639,0.14878
5,0.55,1,65.424,0.17887,65.888,0.18553,65.424,0.17887,65.888,0.18553
5,0.55,2,65.716,0.18468,66.991,0.18311,65.716,0.18468,66.991,0.18311
5,0.55,3,68.114,0.1937,67.639,0.14878,68.114,0.1937,67.639,0.14878
5,0.6,1,65.424,0.17887,65.888,0.18553,65.424,0.17887,65.888,0.18553
5,0.6,2,65.716,0.18468,66.991,0.18311,65.716,0.18468,66.991,0.18311
5,0.6,3,68.114,0.1937,67.639,0.14878,68.114,0.1937,67.639,0.14878
5,0.65,1,65.424,0.17887,65.888,0.18553,65.424,0.17887,65.888,0.18553
5,0.65,2,65.716,0.18468,66.991,0.18311,65.716,0.18468,66.991,0.18311
5,0.65,3,68.114,0.1937,67.639,0.14878,68.114,0.1937,67.639,0.14878
5,0.7,1,65.424,0.17887,65.888,0.18553,65.424,0.17887,65.888,0.18553
5,0.7,2,65.716,0.18468,66.991,0.18311,65.716,0.18468,66.991,0.18311
5,0.7,3,68.114,0.1937,67.639,0.14878,68.114,0.1937,67.639,0.14878
5,0.75,1,65.424,0.17887,65.888,0.18553,65.424,0.17887,65.888,0.18553
5,0.75,2,65.716,0.18468,66.991,0.18311,65.716,0.18468,66.991,0.18311
5,0.75,3,68.114,0.1937,67.639,0.14878,68.114,0.1937,67.639,0.14878
5,0.8,1,65.424,0.17887,65.888,0.18553,65.424,0.17887,65.888,0.18553
5,0.8,2,65.716,0.18468,66.991,0.18311,65.716,0.18468,66.991,0.18311
5,0.8,3,68.114,0.1937,67.639,0.14878,68.114,0.1937,67.639,0.14878
5,0.85,1,65.424,0.17887,65.888,0.18553,65.424,0.17887,65.888,0.18553
5,0.85,2,65.716,0.18468,66.991,0.18311,65.716,0.18468,66.991,0.18311
5,0.85,3,68.114,0.1937,67.639,0.14878,68.114,0.1937,67.639,0.14878
5,0.9,1,65.424,0.17887,65.888,0.18553,65.424,0.17887,65.888,0.18553
5,0.9,2,65.716,0.18468,66.991,0.18311,65.716,0.18468,66.991,0.18311
5,0.9,3,68.114,0.1937,67.639,0.14878,68.114,0.1937,67.639,0.14878
