dataset,split,method,seed,classifier,metric,acc,disp,hyp,time
german_binary,1,correlation_remover,1,KNN,FPR,0.72,0.224618149146451,0.8888888888888888,
german_binary,1,correlation_remover,1,KNN,FPR,0.716,0.1958670260557052,1.0,
german_binary,1,correlation_remover,1,KNN,EO,0.748,0.2147349505840071,0.0,
german_binary,1,correlation_remover,1,KNN,EO,0.72,0.1769991015274034,0.1111111111111111,
german_binary,1,correlation_remover,1,KNN,EO,0.736,0.233602875112309,0.2222222222222222,
german_binary,1,correlation_remover,1,KNN,EO,0.732,0.1958670260557052,0.3333333333333333,
german_binary,1,correlation_remover,1,KNN,EO,0.724,0.1769991015274034,0.4444444444444444,
german_binary,1,correlation_remover,1,KNN,EO,0.716,0.1392632524707996,0.5555555555555556,
german_binary,1,correlation_remover,1,KNN,EO,0.716,0.1868823000898473,0.6666666666666666,
german_binary,1,correlation_remover,1,KNN,EO,0.72,0.224618149146451,0.7777777777777777,
german_binary,1,correlation_remover,1,KNN,EO,0.72,0.224618149146451,0.8888888888888888,
german_binary,1,correlation_remover,1,KNN,EO,0.716,0.1958670260557052,1.0,
german_binary,1,correlation_remover,100,RF,DP,0.764,0.1026097893302588,0.0,
german_binary,1,correlation_remover,100,RF,DP,0.76,0.323655801278692,0.1111111111111111,
german_binary,1,correlation_remover,100,RF,DP,0.756,0.3187296929043077,0.2222222222222222,
german_binary,1,correlation_remover,100,RF,DP,0.76,0.323655801278692,0.3333333333333333,
german_binary,1,correlation_remover,100,RF,DP,0.76,0.323655801278692,0.4444444444444444,
german_binary,1,correlation_remover,100,RF,DP,0.764,0.3187296929043077,0.5555555555555556,
german_binary,1,correlation_remover,100,RF,DP,0.756,0.3285819096530762,0.6666666666666666,
german_binary,1,correlation_remover,100,RF,DP,0.756,0.3285819096530762,0.7777777777777777,
german_binary,1,correlation_remover,100,RF,DP,0.756,0.3187296929043077,0.8888888888888888,
german_binary,1,correlation_remover,100,RF,DP,0.76,0.2974530971596268,1.0,
german_binary,1,correlation_remover,100,RF,TPR,0.764,0.1323076923076922,0.0,
german_binary,1,correlation_remover,100,RF,TPR,0.76,0.2543589743589743,0.1111111111111111,
german_binary,1,correlation_remover,100,RF,TPR,0.756,0.2476923076923076,0.2222222222222222,
german_binary,1,correlation_remover,100,RF,TPR,0.76,0.2543589743589743,0.3333333333333333,
german_binary,1,correlation_remover,100,RF,TPR,0.76,0.2543589743589743,0.4444444444444444,
german_binary,1,correlation_remover,100,RF,TPR,0.764,0.2543589743589743,0.5555555555555556,
german_binary,1,correlation_remover,100,RF,TPR,0.756,0.2543589743589743,0.6666666666666666,
german_binary,1,correlation_remover,100,RF,TPR,0.756,0.2543589743589743,0.7777777777777777,
german_binary,1,correlation_remover,100,RF,TPR,0.756,0.2476923076923076,0.8888888888888888,
german_binary,1,correlation_remover,100,RF,TPR,0.76,0.2092307692307692,1.0,
german_binary,1,correlation_remover,100,RF,FPR,0.764,0.0817610062893081,0.0,
german_binary,1,correlation_remover,100,RF,FPR,0.76,0.2982929020664869,0.1111111111111111,
german_binary,1,correlation_remover,100,RF,FPR,0.756,0.2982929020664869,0.2222222222222222,
german_binary,1,correlation_remover,100,RF,FPR,0.76,0.2982929020664869,0.3333333333333333,
german_binary,1,correlation_remover,100,RF,FPR,0.76,0.2982929020664869,0.4444444444444444,
german_binary,1,correlation_remover,100,RF,FPR,0.764,0.279424977538185,0.5555555555555556,
german_binary,1,correlation_remover,100,RF,FPR,0.756,0.3171608265947888,0.6666666666666666,
german_binary,1,correlation_remover,100,RF,FPR,0.756,0.3171608265947888,0.7777777777777777,
german_binary,1,correlation_remover,100,RF,FPR,0.756,0.2982929020664869,0.8888888888888888,
german_binary,1,correlation_remover,100,RF,FPR,0.76,0.2982929020664869,1.0,
german_binary,1,correlation_remover,100,RF,EO,0.764,0.1323076923076922,0.0,
german_binary,1,correlation_remover,100,RF,EO,0.76,0.2982929020664869,0.1111111111111111,
german_binary,1,correlation_remover,100,RF,EO,0.756,0.2982929020664869,0.2222222222222222,
german_binary,1,correlation_remover,100,RF,EO,0.76,0.2982929020664869,0.3333333333333333,
german_binary,1,correlation_remover,100,RF,EO,0.76,0.2982929020664869,0.4444444444444444,
german_binary,1,correlation_remover,100,RF,EO,0.764,0.279424977538185,0.5555555555555556,
german_binary,1,correlation_remover,100,RF,EO,0.756,0.3171608265947888,0.6666666666666666,
german_binary,1,correlation_remover,100,RF,EO,0.756,0.3171608265947888,0.7777777777777777,
german_binary,1,correlation_remover,100,RF,EO,0.756,0.2982929020664869,0.8888888888888888,
german_binary,1,correlation_remover,100,RF,EO,0.76,0.2982929020664869,1.0,
german_binary,1,correlation_remover,100,LR,DP,0.764,0.0764070852111937,0.0,
german_binary,1,correlation_remover,100,LR,DP,0.76,0.0551304894665128,0.1111111111111111,
german_binary,1,correlation_remover,100,LR,DP,0.76,0.0551304894665128,0.2222222222222222,
german_binary,1,correlation_remover,100,LR,DP,0.76,0.0551304894665128,0.3333333333333333,
german_binary,1,correlation_remover,100,LR,DP,0.76,0.0125772979771512,0.4444444444444444,
german_binary,1,correlation_remover,100,LR,DP,0.76,0.0125772979771512,0.5555555555555556,
german_binary,1,correlation_remover,100,LR,DP,0.76,0.0125772979771512,0.6666666666666666,
german_binary,1,correlation_remover,100,LR,DP,0.76,0.0125772979771512,0.7777777777777777,
german_binary,1,correlation_remover,100,LR,DP,0.764,0.007651189602767,0.8888888888888888,
german_binary,1,correlation_remover,100,LR,DP,0.76,0.0125772979771512,1.0,
german_binary,1,correlation_remover,100,LR,TPR,0.764,0.1323076923076922,0.0,
german_binary,1,correlation_remover,100,LR,TPR,0.76,0.1323076923076922,0.1111111111111111,
german_binary,1,correlation_remover,100,LR,TPR,0.76,0.1323076923076922,0.2222222222222222,
german_binary,1,correlation_remover,100,LR,TPR,0.76,0.1323076923076922,0.3333333333333333,
german_binary,1,correlation_remover,100,LR,TPR,0.76,0.0938461538461538,0.4444444444444444,
german_binary,1,correlation_remover,100,LR,TPR,0.76,0.0938461538461538,0.5555555555555556,
german_binary,1,correlation_remover,100,LR,TPR,0.76,0.0938461538461538,0.6666666666666666,
german_binary,1,correlation_remover,100,LR,TPR,0.76,0.0938461538461538,0.7777777777777777,
german_binary,1,correlation_remover,100,LR,TPR,0.764,0.0938461538461538,0.8888888888888888,
german_binary,1,correlation_remover,100,LR,TPR,0.76,0.0938461538461538,1.0,
german_binary,1,correlation_remover,100,LR,FPR,0.764,0.1482479784366577,0.0,
german_binary,1,correlation_remover,100,LR,FPR,0.76,0.1958670260557052,0.1111111111111111,
german_binary,1,correlation_remover,100,LR,FPR,0.76,0.1958670260557052,0.2222222222222222,
