dataset,epsilon,depth,acc_tr_pre,disc_tr_pre,acc_te_pre,disc_te_pre,acc_tr_post,disc_tr_post,acc_te_post,disc_te_post
3,0.4,1,70.06,-6.66E-16,70.281,5.55E-16,70.06,-6.66E-16,70.281,5.55E-16
3,0.4,2,71.457,0.0084855,69.478,0.060261,71.457,0.0084855,69.478,0.060261
3,0.4,3,78.044,0.045349,66.265,0.069509,78.044,0.045349,66.265,0.069509
3,0.45,1,70.06,-6.66E-16,70.281,5.55E-16,70.06,-6.66E-16,70.281,5.55E-16
3,0.45,2,71.457,0.0084855,69.478,0.060261,71.457,0.0084855,69.478,0.060261
3,0.45,3,78.044,0.045349,66.265,0.069509,78.044,0.045349,66.265,0.069509
3,0.5,1,70.06,-6.66E-16,70.281,5.55E-16,70.06,-6.66E-16,70.281,5.55E-16
3,0.5,2,71.457,0.0084855,69.478,0.060261,71.457,0.0084855,69.478,0.060261
3,0.5,3,78.044,0.045349,66.265,0.069509,78.044,0.045349,66.265,0.069509
3,0.55,1,70.06,-6.66E-16,70.281,5.55E-16,70.06,-6.66E-16,70.281,5.55E-16
3,0.55,2,71.457,0.0084855,69.478,0.060261,71.457,0.0084855,69.478,0.060261
3,0.55,3,78.044,0.045349,66.265,0.069509,78.044,0.045349,66.265,0.069509
3,0.6,1,70.06,-6.66E-16,70.281,5.55E-16,70.06,-6.66E-16,70.281,5.55E-16
3,0.6,2,71.457,0.0084855,69.478,0.060261,71.457,0.0084855,69.478,0.060261
3,0.6,3,78.044,0.045349,66.265,0.069509,78.044,0.045349,66.265,0.069509
3,0.65,1,70.06,-6.66E-16,70.281,5.55E-16,70.06,-6.66E-16,70.281,5.55E-16
3,0.65,2,71.457,0.0084855,69.478,0.060261,71.457,0.0084855,69.478,0.060261
3,0.65,3,78.044,0.045349,66.265,0.069509,78.044,0.045349,66.265,0.069509
3,0.7,1,70.06,-6.66E-16,70.281,5.55E-16,70.06,-6.66E-16,70.281,5.55E-16
3,0.7,2,71.457,0.0084855,69.478,0.060261,71.457,0.0084855,69.478,0.060261
3,0.7,3,78.044,0.045349,66.265,0.069509,78.044,0.045349,66.265,0.069509
3,0.75,1,70.06,-6.66E-16,70.281,5.55E-16,70.06,-6.66E-16,70.281,5.55E-16
3,0.75,2,71.457,0.0084855,69.478,0.060261,71.457,0.0084855,69.478,0.060261
3,0.75,3,78.044,0.045349,66.265,0.069509,78.044,0.045349,66.265,0.069509
3,0.8,1,70.06,-6.66E-16,70.281,5.55E-16,70.06,-6.66E-16,70.281,5.55E-16
3,0.8,2,71.457,0.0084855,69.478,0.060261,71.457,0.0084855,69.478,0.060261
3,0.8,3,78.044,0.045349,66.265,0.069509,78.044,0.045349,66.265,0.069509
3,0.85,1,70.06,-6.66E-16,70.281,5.55E-16,70.06,-6.66E-16,70.281,5.55E-16
3,0.85,2,71.457,0.0084855,69.478,0.060261,71.457,0.0084855,69.478,0.060261
3,0.85,3,78.044,0.045349,66.265,0.069509,78.044,0.045349,66.265,0.069509
3,0.9,1,70.06,-6.66E-16,70.281,5.55E-16,70.06,-6.66E-16,70.281,5.55E-16
3,0.9,2,71.457,0.0084855,69.478,0.060261,71.457,0.0084855,69.478,0.060261
3,0.9,3,78.044,0.045349,66.265,0.069509,78.044,0.045349,66.265,0.069509
3,75,1,70.06,-6.66E-16,70.281,5.55E-16,70.06,-6.66E-16,70.281,5.55E-16
3,75,2,71.457,0.0084855,69.478,0.060261,71.457,0.0084855,69.478,0.060261
3,75,3,78.044,0.045349,66.265,0.069509,78.044,0.045349,66.265,0.069509
4,0,1,71.058,0.19426,71.486,0.19381,70.06,0,70.281,5.55E-16
4,0,2,73.653,0.14757,69.478,0.13382,73.453,0,69.076,-0.026382
4,0,3,75.25,0.11471,69.88,0.054731,73.253,0,70.281,-0.011604
4,0.01,1,71.058,0.19426,71.486,0.19381,70.06,0,70.281,5.55E-16
4,0.01,2,73.653,0.14757,69.478,0.13382,73.453,0,69.076,-0.026382
4,0.01,3,75.25,0.11471,69.88,0.054731,73.253,0,70.281,-0.011604
4,0.05,1,71.058,0.19426,71.486,0.19381,70.06,0,70.281,5.55E-16
4,0.05,2,73.653,0.14757,69.478,0.13382,73.453,0,69.076,-0.026382
4,0.05,3,75.25,0.11471,69.88,0.054731,73.253,0,70.281,-0.011604
4,0.1,1,71.058,0.19426,71.486,0.19381,70.06,0,70.281,5.55E-16
4,0.1,2,73.653,0.14757,69.478,0.13382,73.453,0,69.076,-0.026382
4,0.1,3,75.25,0.11471,69.88,0.054731,75.05,0.083464,71.084,0.069509
4,0.15,1,71.058,0.19426,71.486,0.19381,70.06,0,70.281,5.55E-16
4,0.15,2,73.653,0.14757,69.478,0.13382,73.653,0.14757,69.478,0.13382
4,0.15,3,75.25,0.11471,69.88,0.054731,75.25,0.11471,69.88,0.054731
4,0.2,1,71.058,0.19426,71.486,0.19381,71.058,0.19426,71.486,0.19381
4,0.2,2,73.653,0.14757,69.478,0.13382,73.653,0.14757,69.478,0.13382
4,0.2,3,75.25,0.11471,69.88,0.054731,75.25,0.11471,69.88,0.054731
4,0.25,1,71.058,0.19426,71.486,0.19381,71.058,0.19426,71.486,0.19381
4,0.25,2,73.653,0.14757,69.478,0.13382,73.653,0.14757,69.478,0.13382
4,0.25,3,75.25,0.11471,69.88,0.054731,75.25,0.11471,69.88,0.054731
4,0.3,1,71.058,0.19426,71.486,0.19381,71.058,0.19426,71.486,0.19381
4,0.3,2,73.653,0.14757,69.478,0.13382,73.653,0.14757,69.478,0.13382
4,0.3,3,75.25,0.11471,69.88,0.054731,75.25,0.11471,69.88,0.054731
4,0.35,1,71.058,0.19426,71.486,0.19381,71.058,0.19426,71.486,0.19381
4,0.35,2,73.653,0.14757,69.478,0.13382,73.653,0.14757,69.478,0.13382
4,0.35,3,75.25,0.11471,69.88,0.054731,75.25,0.11471,69.88,0.054731
4,0.4,1,71.058,0.19426,71.486,0.19381,71.058,0.19426,71.486,0.19381
4,0.4,2,73.653,0.14757,69.478,0.13382,73.653,0.14757,69.478,0.13382
4,0.4,3,75.25,0.11471,69.88,0.054731,75.25,0.11471,69.88,0.054731
4,0.45,1,71.058,0.19426,71.486,0.19381,71.058,0.19426,71.486,0.19381
4,0.45,2,73.653,0.14757,69.478,0.13382,73.653,0.14757,69.478,0.13382
4,0.45,3,75.25,0.11471,69.88,0.054731,75.25,0.11471,69.88,0.054731
4,0.5,1,71.058,0.19426,71.486,0.19381,71.058,0.19426,71.486,0.19381
4,0.5,2,73.653,0.14757,69.478,0.13382,73.653,0.14757,69.478,0.13382
