approach,data,fair type,fair bound,nrow,depth,lambda,time limit,status,obj val,train acc,gap,node count,solving time,test acc,cal acc,sample,sp train data,sp train pred,sp test data,sp test pred,sp cal data,sp cal pred,csp train data,csp train pred,csp test data,csp test pred,csp cal data,csp cal pred,pe train data,pe train pred,pe test data,pe test pred,pe cal data,pe cal pred,EOpp train data,EOpp train pred,EOpp test data,EOpp test pred,EOpp cal data,EOpp cal pred
FlowOCT,compas_enc.csv,PE,0.55,3101,1,0,10800,2,2081,0.671073847,0,29,50.98944974,0.69345431,0.687172775,1,0.4125,0.4,0.407234962,0.391566265,0.8,0.268217054,1,1,0.556701031,0,1,0,1.11E-16,0.13832853,0,0.144970414,1,0.5,0,0.666666667,0,0.675675676,0,0.491189427
FlowOCT,compas_enc.csv,PE,0.5,3101,1,0,10800,2,2081,0.671073847,0,35,45.98584914,0.69345431,0.687172775,1,0.4125,0.4,0.407234962,0.391566265,0.8,0.268217054,1,1,0.556701031,0,1,0,1.11E-16,0.13832853,0,0.144970414,1,0.5,0,0.666666667,0,0.675675676,0,0.491189427
FlowOCT,compas_enc.csv,PE,0.6,3101,1,0,10800,2,2081,0.671073847,0,50,53.312922,0.69345431,0.687172775,1,0.4125,0.4,0.407234962,0.391566265,0.8,0.268217054,1,1,0.556701031,0,1,0,1.11E-16,0.13832853,0,0.144970414,1,0.5,0,0.666666667,0,0.675675676,0,0.491189427
FlowOCT,compas_enc.csv,SP,0.01,3101,1,0,10800,2,1741,0.561431796,0,37,232.188519,0.559948153,0.555628272,1,0.4125,0.008695652,0.407234962,0.005018821,0.8,0.0078125,1,0.05,0.556701031,0.02173913,1,0.023529412,1.11E-16,0,0,0,1,0,0,0.03030303,0,0.011695906,0,0.013215859
FlowOCT,compas_enc.csv,SP,0.05,3101,1,0,10800,2,1741,0.561431796,0,1,317.9995751,0.559948153,0.555628272,1,0.4125,0.008695652,0.407234962,0.005018821,0.8,0.0078125,1,0.05,0.556701031,0.02173913,1,0.023529412,1.11E-16,0,0,0,1,0,0,0.03030303,0,0.011695906,0,0.013215859
FlowOCT,compas_enc.csv,SP,0.15,3101,1,0,10800,2,1741,0.561431796,0,54,292.2706907,0.559948153,0.555628272,1,0.4125,0.008695652,0.407234962,0.005018821,0.8,0.0078125,1,0.05,0.556701031,0.02173913,1,0.023529412,1.11E-16,0,0,0,1,0,0,0.03030303,0,0.011695906,0,0.013215859
FlowOCT,compas_enc.csv,SP,0.1,3101,1,0,10800,2,1741,0.561431796,0,1,268.3506391,0.559948153,0.555628272,1,0.4125,0.008695652,0.407234962,0.005018821,0.8,0.0078125,1,0.05,0.556701031,0.02173913,1,0.023529412,1.11E-16,0,0,0,1,0,0,0.03030303,0,0.011695906,0,0.013215859
FlowOCT,compas_enc.csv,SP,0.25,3101,1,0,10800,2,1932,0.623024831,0,43,123.3601985,0.62734932,0.632853403,1,0.4125,0.2,0.407234962,0.5,0.8,0.173177083,1,0.5,0.556701031,1,1,0.505703422,1.11E-16,0.022222222,0,0.035502959,1,0.031847134,0,0.333333333,0,1,0,0.27092511
FlowOCT,compas_enc.csv,SP,0.2,3101,1,0,10800,2,1932,0.623024831,0,1,195.0174809,0.62734932,0.632853403,1,0.4125,0.2,0.407234962,0.5,0.8,0.173177083,1,0.5,0.556701031,1,1,0.505703422,1.11E-16,0.022222222,0,0.035502959,1,0.031847134,0,0.333333333,0,1,0,0.27092511
FlowOCT,compas_enc.csv,SP,0.35,3101,1,0,10800,2,2028,0.653982586,0,41,132.5291162,0.6830849,0.651832461,1,0.4125,0.331754658,0.407234962,0.211919699,0.8,0.393410853,1,1,0.556701031,0.714285714,1,1,1.11E-16,0.353025937,0,0.328402367,1,0.385714286,0,0.333333333,0,0.459459459,0,0.483870968
FlowOCT,compas_enc.csv,SP,0.3,3101,1,0,10800,2,1932,0.623024831,0,44,122.5503893,0.62734932,0.632853403,1,0.4125,0.2,0.407234962,0.5,0.8,0.173177083,1,0.5,0.556701031,1,1,0.505703422,1.11E-16,0.022222222,0,0.035502959,1,0.031847134,0,0.333333333,0,1,0,0.27092511
FlowOCT,compas_enc.csv,SP,0.45,3101,1,0,10800,2,2081,0.671073847,0,39,113.880899,0.69345431,0.687172775,1,0.4125,0.4,0.407234962,0.391566265,0.8,0.268217054,1,1,0.556701031,0,1,0,1.11E-16,0.13832853,0,0.144970414,1,0.5,0,0.666666667,0,0.675675676,0,0.491189427
FlowOCT,compas_enc.csv,SP,0.4,3101,1,0,10800,2,2081,0.671073847,0,39,139.6997371,0.69345431,0.687172775,1,0.4125,0.4,0.407234962,0.391566265,0.8,0.268217054,1,1,0.556701031,0,1,0,1.11E-16,0.13832853,0,0.144970414,1,0.5,0,0.666666667,0,0.675675676,0,0.491189427
FlowOCT,compas_enc.csv,SP,0.55,3101,1,0,10800,2,2081,0.671073847,0,39,92.25376964,0.69345431,0.687172775,1,0.4125,0.4,0.407234962,0.391566265,0.8,0.268217054,1,1,0.556701031,0,1,0,1.11E-16,0.13832853,0,0.144970414,1,0.5,0,0.666666667,0,0.675675676,0,0.491189427
FlowOCT,compas_enc.csv,SP,0.5,3101,1,0,10800,2,2081,0.671073847,0,33,88.73504448,0.69345431,0.687172775,1,0.4125,0.4,0.407234962,0.391566265,0.8,0.268217054,1,1,0.556701031,0,1,0,1.11E-16,0.13832853,0,0.144970414,1,0.5,0,0.666666667,0,0.675675676,0,0.491189427
FlowOCT,compas_enc.csv,SP,0.6,3101,1,0,10800,2,2081,0.671073847,0,35,109.4958975,0.69345431,0.687172775,1,0.4125,0.4,0.407234962,0.391566265,0.8,0.268217054,1,1,0.556701031,0,1,0,1.11E-16,0.13832853,0,0.144970414,1,0.5,0,0.666666667,0,0.675675676,0,0.491189427
FlowOCT,compas_enc.csv,CSP,0.01,3101,2,0,10800,2,1727,0.556917124,0,4782,3745.135182,0.558003889,0.551701571,1,0.4125,0.002484472,0.407234962,0.00250941,0.8,0.002604167,1,0.00804829,0.556701031,0.010869565,1,0.007604563,1.11E-16,0,0,0,1,0,0,0.004366812,0,0.005847953,0,0.004405286
FlowOCT,compas_enc.csv,CSP,0.05,3101,2,0,10800,2,1750,0.564334086,0,9255,6052.848093,0.562540506,0.557591623,1,0.4125,0.011801242,0.407234962,0.5,0.8,0.01171875,1,0.05,0.556701031,1,1,0.034220532,1.11E-16,0,0,0,1,0,0,0.03030303,0,1,0,0.019823789
FlowOCT,compas_enc.csv,CSP,0.15,3101,2,0,10800,9,1807,0.582715253,20.08854455,7069,10800.20752,0.587815943,0.580497382,1,0.4125,0.042236025,0.407234962,0.052697616,0.8,0.055989583,1,0.142857143,0.556701031,0.156133829,1,0.163498099,1.11E-16,0.001440922,0,0,1,0.003184713,0,0.073144105,0,0.091503268,0,0.092511013
FlowOCT,compas_enc.csv,CSP,0.1,3101,2,0,10800,2,1795,0.578845534,0,7372,5800.400934,0.569021387,0.566753927,1,0.4125,0.054658385,0.407234962,0.053952321,0.8,0.064516129,1,0.099307159,0.556701031,0.108225108,1,0.119047619,1.11E-16,0.028818444,0,0.044444444,1,0.042857143,0,0.090909091,0,0.076023392,0,0.130434783
FlowOCT,compas_enc.csv,CSP,0.25,3101,2,0,10800,2,1832,0.590777169,0,8393,5267.365384,0.594296824,0.597513089,1,0.4125,0.074534161,0.407234962,0.5,0.8,0.098958333,1,0.241448692,0.556701031,1,1,0.288973384,1.11E-16,0.015736767,0,0.032544379,1,0.022292994,0,0.120087336,0,1,0,0.151982379
FlowOCT,compas_enc.csv,CSP,0.2,3101,2,0,10800,2,1830,0.590132215,0,8281,4176.010923,0.59235256,0.588350785,1,0.4125,0.058385093,0.407234962,0.063989962,0.8,0.079427083,1,0.2,0.556701031,0.19047619,1,0.231939163,1.11E-16,0.011111111,0,0.011111111,1,0.028571429,0,0.098253275,0,0.108932462,0,0.127753304
FlowOCT,compas_enc.csv,CSP,0.35,3101,2,0,10800,2,1970,0.635278942,0,7189,3994.946157,0.633182113,0.634816754,1,0.4125,0.27515528,0.407234962,0.271016311,0.8,0.096418163,1,0.35,0.556701031,0.555555556,1,0.5,1.11E-16,0.174351585,0,0.159763314,1,0.25,0,0.383561644,0,0.432432432,0,0.483870968
FlowOCT,compas_enc.csv,CSP,0.3,3101,2,0,10800,2,1929,0.622057401,0,8486,4316.897486,0.628645496,0.625,1,0.4125,0.191925466,0.407234962,0.169385194,0.8,0.5,1,0.25813449,0.556701031,0.444444444,1,1,1.11E-16,0.108069164,0,0.079881657,1,0.098726115,0,0.333333333,0,0.357142857,0,0.5
FlowOCT,compas_enc.csv,CSP,0.45,3101,2,0,10800,2,2076,0.669461464,0,4600,3138.995209,0.688917693,0.669502618,1,0.4125,0.348447205,0.407234962,0.370138018,0.8,0.5,1,0.422632794,0.556701031,0.444444444,1,1,1.11E-16,0.307692308,0,0.183431953,1,0.197452229,0,0.520547945,0,0.567567568,0,0.652173913
FlowOCT,compas_enc.csv,CSP,0.4,3101,2,0,10800,2,1970,0.635278942,0,7666,3665.995546,0.633182113,0.634816754,1,0.4125,0.27515528,0.407234962,0.271016311,0.8,0.096418163,1,0.35,0.556701031,0.555555556,1,0.5,1.11E-16,0.174351585,0,0.159763314,1,0.25,0,0.383561644,0,0.432432432,0,0.483870968
